timestamp,participantID,sessionNumber,taskOrder,testNumber,trialType,trialID,actualTargetX,actualTargetY,actualTargetZ,selectedTargetX,selectedTargetY,selectedTargetZ,rightControllerX,rightControllerY,rightControllerZ,selectionError,testDuration,angularDeviation,selectionErrorEdge,angularDeviationEdge,longitudinalOrMain,sessionNumber,blockNumber,notes
2025-11-13 18:00:36.585,P022,0,0,1,test,point_P022_M_discrete_constant_S1B1_20251113180027068_20f114e0,-0.223,0.410,-0.164,-0.175,0.384,-0.226,-0.059,0.268,-0.366,0.083,9.513,4.036,0.000,0.000,MainStudy,1,1,
2025-11-13 18:00:52.960,P022,0,0,2,setup,point_P022_M_discrete_constant_S1B1_20251113180037598_fed2da1b,0.076,0.353,-0.583,-0.035,0.345,-0.478,-0.099,0.292,-0.422,0.153,15.374,17.946,0.000,0.000,MainStudy,1,1,
2025-11-13 18:00:58.713,P022,0,0,3,setup,point_P022_M_discrete_constant_S1B1_20251113180053984_dec8699c,0.980,0.500,-0.768,1.031,0.528,-0.788,0.146,0.225,-0.436,0.061,4.735,0.652,0.000,0.000,MainStudy,1,1,
2025-11-13 18:01:20.407,P022,0,0,4,practice,point_P022_M_discrete_constant_S1B1_20251113180059722_19eb4baa,-0.878,0.600,-0.714,-1.022,0.440,-0.331,-0.294,0.218,-0.469,0.440,20.693,33.673,0.240,18.016,MainStudy,1,1,
2025-11-13 18:01:49.543,P022,0,0,5,practice,point_P022_M_discrete_constant_S1B1_20251113180121428_f485e748,0.446,0.572,-0.589,0.791,0.631,-0.600,0.287,0.295,-0.597,0.350,28.115,26.504,0.150,7.432,MainStudy,1,1,
2025-11-13 18:02:04.842,P022,0,0,6,practice,point_P022_M_discrete_constant_S1B1_20251113180150552_086fb830,0.322,0.582,-1.368,-0.123,0.520,-1.211,0.046,0.257,-0.824,0.475,14.299,43.464,0.275,28.806,MainStudy,1,1,
2025-11-13 18:02:19.894,P022,0,0,7,practice,point_P022_M_discrete_constant_S1B1_20251113180205854_5acea28a,-0.904,0.416,-0.832,-0.530,0.578,-1.010,-0.056,0.248,-0.741,0.445,14.047,29.548,0.245,18.575,MainStudy,1,1,
2025-11-13 18:02:31.575,P022,0,0,8,practice,point_P022_M_discrete_constant_S1B1_20251113180220904_22c7b09b,0.745,0.610,-1.147,0.139,0.553,-1.338,0.123,0.232,-0.738,0.637,10.678,48.414,0.437,35.800,MainStudy,1,1,
2025-11-13 18:02:50.382,P022,0,0,9,test,point_P022_M_discrete_constant_S1B1_20251113180232586_f85fea69,-0.619,0.324,0.373,-0.210,0.516,0.506,-0.005,0.206,-0.119,0.472,17.804,35.724,0.272,21.468,MainStudy,1,1,
2025-11-13 18:03:01.552,P022,0,0,10,test,point_P022_M_discrete_constant_S1B1_20251113180251393_a459d093,-0.886,0.474,-1.300,-0.516,0.615,-1.554,-0.037,0.207,-0.777,0.471,10.170,26.727,0.271,15.613,MainStudy,1,1,
2025-11-13 18:03:12.242,P022,0,0,11,test,point_P022_M_discrete_constant_S1B1_20251113180302578_a547667e,-0.868,0.257,-0.173,-0.975,0.499,-0.369,-0.275,0.208,-0.500,0.329,9.676,25.268,0.129,9.112,MainStudy,1,1,
2025-11-13 18:03:20.455,P022,0,0,12,test,point_P022_M_discrete_constant_S1B1_20251113180313252_26785365,-0.560,0.325,-1.093,-0.955,0.435,-0.958,-0.263,0.181,-0.592,0.432,7.210,30.500,0.232,13.935,MainStudy,1,1,
2025-11-13 18:03:31.483,P022,0,0,13,test,point_P022_M_discrete_constant_S1B1_20251113180321467_c741e416,-0.756,0.298,-0.087,-0.851,0.443,0.142,-0.303,0.186,-0.365,0.287,10.024,12.864,0.087,2.944,MainStudy,1,1,
2025-11-13 18:03:39.321,P022,0,0,14,test,point_P022_M_discrete_constant_S1B1_20251113180332494_0384742c,0.318,0.251,0.485,-0.141,0.405,0.492,-0.150,0.182,-0.158,0.484,6.841,37.057,0.284,23.217,MainStudy,1,1,
2025-11-13 18:04:01.346,P022,0,0,15,test,point_P022_M_discrete_constant_S1B1_20251113180340345_10d0967f,0.036,0.392,-0.565,0.868,0.386,-0.073,0.076,0.176,-0.391,0.967,21.012,99.735,0.767,56.641,MainStudy,1,1,
2025-11-13 18:04:14.391,P022,0,0,16,test,point_P022_M_discrete_constant_S1B1_20251113180402357_6a1240b4,-0.709,0.355,-0.980,-0.764,0.335,-0.859,-0.280,0.187,-0.655,0.134,12.041,13.770,0.000,0.000,MainStudy,1,1,
2025-11-13 18:04:25.306,P022,0,0,17,test,point_P022_M_discrete_constant_S1B1_20251113180415402_5afa488f,0.740,0.326,-0.038,0.263,0.314,0.206,-0.008,0.178,-0.239,0.536,9.910,42.654,0.336,30.683,MainStudy,1,1,
2025-11-13 18:04:41.193,P022,0,0,18,test,point_P022_M_discrete_constant_S1B1_20251113180426317_d8ffb5a7,-0.733,0.327,-0.401,-0.790,0.324,-0.381,-0.434,0.204,-0.528,0.061,14.872,3.411,0.000,0.000,MainStudy,1,1,
