timestamp,participantID,sessionNumber,taskOrder,testNumber,trialType,trialID,actualTargetX,actualTargetY,actualTargetZ,selectedTargetX,selectedTargetY,selectedTargetZ,rightControllerX,rightControllerY,rightControllerZ,selectionError,testDuration,angularDeviation,selectionErrorEdge,angularDeviationEdge,longitudinalOrMain,sessionNumber,blockNumber,notes
2025-11-25 11:43:24.252,P031,0,0,1,setup,point_P031_M_discrete_constant_S1B1_20251125114308309_acc4f4a3,0.954,0.418,-0.228,0.816,0.414,-0.254,0.356,0.170,-0.438,0.140,15.942,5.365,0.000,0.000,MainStudy,1,1,
2025-11-25 11:43:31.879,P031,0,0,2,setup,point_P031_M_discrete_constant_S1B1_20251125114325268_f042b142,-0.656,0.334,-0.580,-0.559,0.343,-0.575,-0.091,0.163,-0.419,0.098,6.620,4.497,0.000,0.000,MainStudy,1,1,
2025-11-25 11:43:49.856,P031,0,0,3,practice,point_P031_M_discrete_constant_S1B1_20251125114332893_d4791731,0.678,0.546,-0.790,0.548,0.303,-0.615,0.046,0.152,-0.840,0.327,16.967,24.324,0.127,11.010,MainStudy,1,1,
2025-11-25 11:44:04.882,P031,0,0,4,practice,point_P031_M_discrete_constant_S1B1_20251125114357474_d95982ac,-0.159,0.272,-1.470,-0.151,0.316,-1.466,-0.387,0.169,-0.507,0.045,14.030,2.586,0.000,0.000,MainStudy,1,1,
2025-11-25 11:44:32.774,P031,0,0,5,practice,point_P031_M_discrete_constant_S1B1_20251125114405894_8804e6a3,-0.536,0.640,-1.334,-0.561,0.347,-1.134,-0.295,0.156,-0.189,0.355,26.888,12.039,0.155,5.962,MainStudy,1,1,
2025-11-25 11:44:45.375,P031,0,0,6,practice,point_P031_M_discrete_constant_S1B1_20251125114442442_41931947,0.857,0.594,-0.642,0.761,0.568,-0.507,0.034,0.026,-0.929,0.167,11.589,9.116,0.000,0.000,MainStudy,1,1,
2025-11-25 11:44:56.194,P031,0,0,7,practice,point_P031_M_discrete_constant_S1B1_20251125114446385_c6513361,0.818,0.468,0.430,0.494,0.561,-0.083,0.071,0.102,-0.864,0.613,9.817,13.617,0.413,10.372,MainStudy,1,1,
2025-11-25 11:45:21.219,P031,0,0,8,test,point_P031_M_discrete_constant_S1B1_20251125114507948_7e1d212a,-0.606,0.533,0.319,-0.546,0.533,0.686,0.173,0.114,-0.346,0.372,24.022,14.227,0.172,5.934,MainStudy,1,1,
2025-11-25 11:45:41.155,P031,0,0,9,test,point_P031_M_discrete_constant_S1B1_20251125114522230_fcfc1995,0.548,0.317,-1.481,0.381,0.319,-1.305,-0.270,0.134,-0.569,0.243,18.933,2.242,0.043,0.468,MainStudy,1,1,
2025-11-25 11:46:02.344,P031,0,0,10,test,point_P031_M_discrete_constant_S1B1_20251125114552518_488fa00f,0.633,0.502,-0.915,0.566,0.422,-0.986,-0.395,0.189,-0.837,0.127,20.168,5.545,0.000,0.000,MainStudy,1,1,
2025-11-25 11:46:22.190,P031,0,0,11,test,point_P031_M_discrete_constant_S1B1_20251125114603361_04cf78a7,0.895,0.513,-0.408,0.615,0.728,-0.218,0.084,0.089,-0.772,0.401,18.837,23.283,0.201,11.580,MainStudy,1,1,
2025-11-25 11:46:50.246,P031,0,0,12,test,point_P031_M_discrete_constant_S1B1_20251125114623198_fc59af88,-0.004,0.575,-0.555,-0.205,0.759,-0.100,0.098,0.219,0.055,0.530,27.053,45.748,0.330,30.026,MainStudy,1,1,
2025-11-25 11:47:13.067,P031,0,0,13,test,point_P031_M_discrete_constant_S1B1_20251125114702406_46ba019b,-0.361,0.278,-0.864,-0.456,0.372,-1.039,-0.356,0.326,-0.301,0.220,21.820,11.025,0.020,0.766,MainStudy,1,1,
2025-11-25 11:47:32.243,P031,0,0,14,test,point_P031_M_discrete_constant_S1B1_20251125114730012_ca1ecbbf,0.813,0.335,-0.508,0.921,0.351,-0.539,-0.027,0.309,-0.851,0.114,18.171,4.063,0.000,0.000,MainStudy,1,1,
2025-11-25 11:47:53.997,P031,0,0,15,test,point_P031_M_discrete_constant_S1B1_20251125114749932_fe5e3200,-0.268,0.547,0.413,-0.268,0.462,0.369,0.326,0.373,-0.244,0.095,20.751,5.495,0.000,0.000,MainStudy,1,1,
2025-11-25 11:48:30.907,P031,0,0,16,test,point_P031_M_discrete_constant_S1B1_20251125114755026_ef716029,-0.047,0.405,-0.664,0.092,0.361,-0.185,0.238,0.060,-0.122,0.501,35.898,41.446,0.301,31.728,MainStudy,1,1,
2025-11-25 11:48:49.111,P031,0,0,17,test,point_P031_M_discrete_constant_S1B1_20251125114831922_d34253b1,0.371,0.392,-0.324,0.157,0.342,-0.065,0.339,0.060,-0.054,0.339,17.197,50.901,0.139,23.869,MainStudy,1,1,
2025-11-25 11:49:05.525,P031,0,0,18,test,point_P031_M_discrete_constant_S1B1_20251125114903767_9ed33017,-0.372,0.503,-1.251,-0.278,0.532,-1.078,-0.238,0.369,-0.091,0.199,15.413,5.088,0.000,0.000,MainStudy,1,1,
2025-11-25 11:49:27.705,P031,0,0,19,test,point_P031_M_discrete_constant_S1B1_20251125114920107_6683c521,0.515,0.393,-0.587,0.632,0.453,-0.419,-0.095,0.334,-0.615,0.214,21.167,12.838,0.014,0.659,MainStudy,1,1,
