timestamp,participantID,sessionNumber,taskOrder,testNumber,trialType,trialID,actualTargetX,actualTargetY,actualTargetZ,selectedTargetX,selectedTargetY,selectedTargetZ,rightControllerX,rightControllerY,rightControllerZ,selectionError,testDuration,angularDeviation,selectionErrorEdge,angularDeviationEdge,longitudinalOrMain,sessionNumber,blockNumber,notes
2025-10-25 12:43:12.588,P013,0,0,1,setup,point_P013_M_discrete_graded_S1B1_20251025124258567_52aa8607,0.450,0.546,-1.399,0.357,0.418,0.699,0.053,0.223,-0.292,2.105,14.022,135.300,1.905,131.395,MainStudy,1,1,
2025-10-25 12:43:22.246,P013,0,0,2,setup,point_P013_M_discrete_graded_S1B1_20251025124313614_9cd65e69,-0.980,0.417,-0.439,-0.910,0.385,-0.418,-0.104,0.133,-0.515,0.080,8.643,1.953,0.000,0.000,MainStudy,1,1,
2025-10-25 12:43:31.883,P013,0,0,3,setup,point_P013_M_discrete_graded_S1B1_20251025124323260_42992909,0.074,0.623,-1.087,0.051,0.540,-1.033,-0.005,0.166,-0.692,0.101,8.627,1.817,0.000,0.000,MainStudy,1,1,
2025-10-25 12:43:41.956,P013,0,0,4,practice,point_P013_M_discrete_graded_S1B1_20251025124332904_a46ce780,-0.251,0.496,-1.051,-0.325,0.769,-1.423,-0.081,0.152,-0.674,0.467,9.060,5.097,0.267,2.129,MainStudy,1,1,
2025-10-25 12:43:52.266,P013,0,0,5,practice,point_P013_M_discrete_graded_S1B1_20251025124342984_be238b93,-0.095,0.308,-1.022,-0.019,0.420,-1.103,-0.039,0.145,-0.692,0.157,9.289,13.224,0.000,0.000,MainStudy,1,1,
2025-10-25 12:44:09.934,P013,0,0,6,practice,point_P013_M_discrete_graded_S1B1_20251025124353276_d73ad8a6,0.418,0.297,0.239,0.404,0.474,0.209,0.141,0.149,-0.407,0.180,16.668,13.992,0.000,0.000,MainStudy,1,1,
2025-10-25 12:44:22.053,P013,0,0,7,practice,point_P013_M_discrete_graded_S1B1_20251025124410963_8cddf816,-0.142,0.283,-0.984,-0.422,0.459,-1.046,-0.119,0.151,-0.579,0.337,11.098,29.310,0.137,9.123,MainStudy,1,1,
2025-10-25 12:44:36.014,P013,0,0,8,practice,point_P013_M_discrete_graded_S1B1_20251025124423062_9307fd34,0.591,0.572,-0.519,0.792,0.325,-0.734,0.194,0.136,-0.520,0.385,12.960,35.194,0.185,15.833,MainStudy,1,1,
2025-10-25 12:44:58.347,P013,0,0,9,test,point_P013_M_discrete_graded_S1B1_20251025124437037_6fab6dc9,0.803,0.439,-0.022,0.709,0.349,0.295,0.260,0.142,-0.211,0.342,21.323,28.809,0.142,11.272,MainStudy,1,1,
2025-10-25 12:45:13.942,P013,0,0,10,test,point_P013_M_discrete_graded_S1B1_20251025124459366_e3e9e60e,0.375,0.412,-0.584,0.157,0.440,-0.620,0.053,0.181,-0.416,0.222,14.584,30.891,0.022,3.662,MainStudy,1,1,
2025-10-25 12:45:36.364,P013,0,0,11,test,point_P013_M_discrete_graded_S1B1_20251025124514953_23489458,0.193,0.521,-0.271,0.149,0.651,-0.574,0.107,0.162,-0.529,0.333,21.419,41.019,0.133,15.252,MainStudy,1,1,
2025-10-25 12:45:46.731,P013,0,0,12,test,point_P013_M_discrete_graded_S1B1_20251025124537390_3610b838,-0.170,0.367,-1.103,-0.244,0.327,-1.191,-0.134,0.216,-0.766,0.121,9.348,12.550,0.000,0.000,MainStudy,1,1,
2025-10-25 12:45:59.161,P013,0,0,13,test,point_P013_M_discrete_graded_S1B1_20251025124547757_c6eb50f6,0.098,0.358,-1.002,-0.057,0.283,-1.233,-0.050,0.224,-0.808,0.289,11.423,41.661,0.089,8.957,MainStudy,1,1,
2025-10-25 12:46:10.636,P013,0,0,14,test,point_P013_M_discrete_graded_S1B1_20251025124600187_dad1d0d0,0.388,0.544,-0.611,0.321,0.247,-0.645,0.148,0.187,-0.520,0.306,10.466,40.353,0.106,20.765,MainStudy,1,1,
2025-10-25 12:46:20.972,P013,0,0,15,test,point_P013_M_discrete_graded_S1B1_20251025124611648_72ecdd1a,0.759,0.581,-1.269,0.471,0.442,-1.544,0.095,0.193,-0.652,0.422,9.333,24.539,0.222,12.847,MainStudy,1,1,
2025-10-25 12:46:35.284,P013,0,0,16,test,point_P013_M_discrete_graded_S1B1_20251025124621987_3fb9c0ab,0.112,0.471,-1.438,0.542,0.527,-1.607,0.152,0.237,-0.733,0.465,13.305,25.999,0.265,12.901,MainStudy,1,1,
2025-10-25 12:46:47.840,P013,0,0,17,test,point_P013_M_discrete_graded_S1B1_20251025124636294_d189a166,0.081,0.547,-0.853,0.291,0.630,-1.186,0.113,0.258,-0.686,0.402,11.554,31.440,0.202,10.669,MainStudy,1,1,
2025-10-25 12:46:58.798,P013,0,0,18,test,point_P013_M_discrete_graded_S1B1_20251025124648871_c2045f4e,0.134,0.483,0.465,0.315,0.518,0.622,0.175,0.118,-0.284,0.242,9.932,11.041,0.042,1.635,MainStudy,1,1,
