timestamp,participantID,sessionNumber,taskOrder,testNumber,trialType,trialID,actualTargetX,actualTargetY,actualTargetZ,selectedTargetX,selectedTargetY,selectedTargetZ,rightControllerX,rightControllerY,rightControllerZ,selectionError,testDuration,angularDeviation,selectionErrorEdge,angularDeviationEdge,longitudinalOrMain,sessionNumber,blockNumber,notes
2025-11-13 17:05:39.671,P024,0,0,1,setup,point_P024_M_interp_constant_S1B1_20251113170501363_bbb95e6c,0.776,0.641,0.104,1.227,0.823,0.853,0.753,0.572,0.024,0.893,54.034,27.565,0.693,7.475,MainStudy,1,1,
2025-11-13 17:06:19.947,P024,0,0,2,setup,point_P024_M_interp_constant_S1B1_20251113170540688_797fab1a,-0.527,0.407,0.353,-0.433,0.351,0.359,-0.101,0.302,-0.120,0.110,39.272,8.558,0.000,0.000,MainStudy,1,1,
2025-11-13 17:06:28.948,P024,0,0,3,setup,point_P024_M_interp_constant_S1B1_20251113170625579_e49fe80e,0.612,0.258,-0.440,0.705,0.303,-0.250,0.484,0.161,-0.780,0.216,8.001,2.337,0.016,0.114,MainStudy,1,1,
2025-11-13 17:06:44.619,P024,0,0,4,Setup,point_P024_M_interp_constant_S1B1_20251113170629957_f605de8e,-0.352,0.543,0.158,0.313,0.372,0.358,0.345,0.357,0.107,0.715,14.670,77.956,0.515,70.592,MainStudy,1,1,
2025-11-13 17:07:02.981,P024,0,0,5,test,point_P024_M_interp_constant_S1B1_20251113170645632_9a32f4cb,-0.332,0.481,0.460,-0.113,0.246,0.408,0.121,0.232,0.058,0.325,17.353,24.850,0.125,12.272,MainStudy,1,1,
2025-11-13 17:07:13.772,P024,0,0,6,test,point_P024_M_interp_constant_S1B1_20251113170703992_b533b105,-0.699,0.608,-0.787,-0.395,0.134,-0.444,-0.034,0.156,-0.540,0.659,9.794,49.135,0.459,41.737,MainStudy,1,1,
2025-11-13 17:07:27.962,P024,0,0,7,test,point_P024_M_interp_constant_S1B1_20251113170714798_2c7a189a,-0.620,0.453,-0.383,-1.211,0.481,-0.290,-0.236,0.350,-0.472,0.599,13.180,7.473,0.399,3.348,MainStudy,1,1,
2025-11-13 17:07:43.606,P024,0,0,8,test,point_P024_M_interp_constant_S1B1_20251113170728984_e51ba0fd,-0.641,0.612,-0.258,-0.577,0.424,0.522,-0.094,0.353,-0.014,0.804,14.636,71.215,0.604,53.928,MainStudy,1,1,
2025-11-13 17:07:54.779,P024,0,0,9,test,point_P024_M_interp_constant_S1B1_20251113170752677_892b83ec,0.041,0.568,-1.072,-0.620,0.649,-1.793,0.026,0.397,-1.073,0.981,10.171,78.792,0.781,30.176,MainStudy,1,1,
2025-11-13 17:08:13.916,P024,0,0,10,test,point_P024_M_interp_constant_S1B1_20251113170811660_86850932,0.765,0.631,-0.535,1.533,1.184,-0.333,0.884,0.448,-0.528,0.968,18.124,75.266,0.768,33.752,MainStudy,1,1,
2025-11-13 17:08:26.768,P024,0,0,11,test,point_P024_M_interp_constant_S1B1_20251113170814923_dd3ed8a2,-0.564,0.368,-1.476,-0.298,0.429,-1.579,-0.006,0.370,-1.311,0.292,11.850,27.363,0.092,10.876,MainStudy,1,1,
2025-11-13 17:08:38.365,P024,0,0,12,test,point_P024_M_interp_constant_S1B1_20251113170827776_075a604d,-0.165,0.387,0.109,-0.840,0.468,-0.450,-0.415,0.365,-0.588,0.880,10.577,91.191,0.680,80.847,MainStudy,1,1,
2025-11-13 17:09:16.873,P024,0,0,13,test,point_P024_M_interp_constant_S1B1_20251113170839362_1d0e6cbc,0.401,0.433,-1.407,0.544,0.228,-0.406,0.353,0.235,-0.756,1.032,37.517,143.976,0.832,138.661,MainStudy,1,1,
2025-11-13 17:10:02.774,P024,0,0,14,test,point_P024_M_interp_constant_S1B1_20251113170917889_fb644294,0.357,0.297,-0.897,0.876,0.281,-1.968,0.422,0.244,-1.078,1.190,44.895,161.181,0.990,78.358,MainStudy,1,1,
