timestamp,participantID,sessionNumber,taskOrder,testNumber,trialType,trialID,actualTargetX,actualTargetY,actualTargetZ,selectedTargetX,selectedTargetY,selectedTargetZ,rightControllerX,rightControllerY,rightControllerZ,selectionError,testDuration,angularDeviation,selectionErrorEdge,angularDeviationEdge,longitudinalOrMain,sessionNumber,blockNumber,notes
2025-11-24 17:34:16.076,P028,0,0,1,setup,point_P028_M_interp_constant_S1B1_20251124173357353_2f6ae444,0.682,0.480,0.473,0.666,0.426,0.389,0.214,0.109,-0.358,0.101,18.724,2.100,0.000,0.000,MainStudy,1,1,
2025-11-24 17:34:22.370,P028,0,0,2,setup,point_P028_M_interp_constant_S1B1_20251124173418373_5496ba06,0.386,0.368,0.066,0.473,0.396,0.162,0.326,0.299,-0.135,0.133,5.294,9.521,0.000,0.000,MainStudy,1,1,
2025-11-24 17:34:41.388,P028,0,0,3,practice,point_P028_M_interp_constant_S1B1_20251124173439782_f0ea8840,0.223,0.436,-1.243,0.159,0.496,-1.450,0.081,0.382,-1.143,0.224,18.005,38.460,0.024,2.200,MainStudy,1,1,
2025-11-24 17:35:05.154,P028,0,0,4,practice,point_P028_M_interp_constant_S1B1_20251124173442412_ca6a7ffd,0.479,0.442,0.434,0.538,0.571,0.535,0.182,0.228,-0.295,0.174,22.754,5.705,0.000,0.000,MainStudy,1,1,
2025-11-24 17:35:27.508,P028,0,0,5,practice,point_P028_M_interp_constant_S1B1_20251124173506174_89a831a4,0.443,0.251,0.169,0.615,0.476,0.620,0.207,0.186,-0.301,0.533,21.344,9.395,0.333,4.290,MainStudy,1,1,
2025-11-24 17:35:44.078,P028,0,0,6,practice,point_P028_M_interp_constant_S1B1_20251124173528524_b5b4afe2,-0.387,0.416,-0.276,-0.413,0.293,-0.349,-0.352,0.246,-0.413,0.146,15.565,31.545,0.000,0.000,MainStudy,1,1,
2025-11-24 17:36:02.512,P028,0,0,7,practice,point_P028_M_interp_constant_S1B1_20251124173545100_168f5fd7,0.873,0.508,-0.211,0.847,0.536,-0.150,0.169,0.188,-0.523,0.073,17.423,4.852,0.000,0.000,MainStudy,1,1,
2025-11-24 17:36:24.115,P028,0,0,8,test,point_P028_M_interp_constant_S1B1_20251124173603520_576dab92,-0.990,0.625,-0.026,-0.861,0.524,0.212,-0.204,0.158,-0.389,0.289,20.602,17.035,0.089,5.307,MainStudy,1,1,
2025-11-24 17:36:43.982,P028,0,0,9,test,point_P028_M_interp_constant_S1B1_20251124173625126_96aef418,-0.535,0.604,-0.616,-0.402,0.398,-0.530,-0.340,0.321,-0.536,0.259,18.866,16.967,0.059,8.689,MainStudy,1,1,
2025-11-24 17:37:00.680,P028,0,0,10,test,point_P028_M_interp_constant_S1B1_20251124173644998_f041fe37,0.834,0.416,-0.071,1.118,0.466,-0.757,0.181,0.109,-0.791,0.744,15.690,43.168,0.544,32.097,MainStudy,1,1,
2025-11-24 17:37:26.351,P028,0,0,11,test,point_P028_M_interp_constant_S1B1_20251124173701702_a148e9df,-0.827,0.554,-0.029,-0.628,0.454,0.157,-0.229,0.191,-0.292,0.290,24.661,22.673,0.090,7.642,MainStudy,1,1,
2025-11-24 17:38:01.669,P028,0,0,12,test,point_P028_M_interp_constant_S1B1_20251124173727361_2f9643e8,-0.881,0.364,-1.445,-1.094,0.395,-1.517,-0.608,0.242,-1.019,0.227,34.313,11.376,0.027,1.015,MainStudy,1,1,
2025-11-24 17:38:26.287,P028,0,0,13,test,point_P028_M_interp_constant_S1B1_20251124173802687_e2728b84,-0.788,0.333,0.222,-1.052,0.422,0.664,-0.551,0.291,-0.061,0.523,23.612,5.613,0.323,2.255,MainStudy,1,1,
2025-11-24 17:39:04.639,P028,0,0,14,test,point_P028_M_interp_constant_S1B1_20251124173827309_1f1171c1,-0.601,0.641,-0.449,-0.480,0.323,-0.516,-0.414,0.250,-0.531,0.346,37.340,16.420,0.146,12.563,MainStudy,1,1,
2025-11-24 17:39:28.155,P028,0,0,15,test,point_P028_M_interp_constant_S1B1_20251124173918016_c840f2e5,0.441,0.332,-0.377,0.477,0.333,-0.385,0.391,0.296,-0.435,0.037,22.509,18.319,0.000,0.000,MainStudy,1,1,
2025-11-24 17:40:30.345,P028,0,0,16,test,point_P028_M_interp_constant_S1B1_20251124174021286_831552aa,-0.222,0.361,-0.792,-0.230,0.655,-0.839,-0.253,0.558,-0.839,0.299,61.185,154.516,0.099,79.051,MainStudy,1,1,
2025-11-24 17:40:51.591,P028,0,0,17,test,point_P028_M_interp_constant_S1B1_20251124174031360_4476f539,0.908,0.384,-0.204,0.562,0.294,-0.516,0.040,0.145,-0.688,0.474,20.236,10.708,0.274,7.615,MainStudy,1,1,
