timestamp,participantID,sessionNumber,taskOrder,taskType,actuators,trialType,trialID,hitCount,missCount,timeSinceLastHit_sec,controllerVariance,headsetVariance,falloff,minDist,maxDist,hitRadius,hiddenTargets,headsetEnabled,{enableLeftControllerHaptics},{enableRightControllerHaptics},targetVisible,axisVisualizationVisible,actualTargetX,actualTargetY,actualTargetZ,selectedTargetX,selectedTargetY,selectedTargetZ,selectionError,testDuration,angularDeviation,longitudinalOrMain,sessionNumber,blockNumber,notes
2025-10-18 16:36:38.807,P007,0,0,locate,12,practice,locate_P007_M_interp_graded_S1B1_20251018163559916_ad856985,1,N/A,0.000,1.3884,1.3930,9,0.05,5,0.2,True,False,False,False,False,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MainStudy,1,1,
2025-10-18 16:36:44.848,P007,0,0,locate,12,practice,locate_P007_M_interp_graded_S1B1_20251018163638807_1afe6f34,2,N/A,6.041,0.1576,0.0259,9,0.05,5,0.2,True,False,False,False,False,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MainStudy,1,1,
2025-10-18 16:36:58.702,P007,0,0,locate,12,practice,locate_P007_M_interp_graded_S1B1_20251018163644852_27d9b084,3,N/A,13.854,0.1297,0.0442,9,0.05,5,0.2,True,False,False,False,False,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MainStudy,1,1,
2025-10-18 16:37:15.048,P007,0,0,locate,12,practice,locate_P007_M_interp_graded_S1B1_20251018163658702_9c86a5bd,4,N/A,16.346,0.2810,0.0919,9,0.05,5,0.2,True,False,False,False,False,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MainStudy,1,1,
2025-10-18 16:37:18.094,P007,0,0,locate,12,practice,locate_P007_M_interp_graded_S1B1_20251018163715048_d710970e,5,N/A,3.047,0.0982,0.0096,9,0.05,5,0.2,True,False,False,False,False,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MainStudy,1,1,
2025-10-18 16:37:23.167,P007,0,0,locate,12,practice,locate_P007_M_interp_graded_S1B1_20251018163718095_2fb8f883,6,N/A,5.073,0.0574,0.0126,9,0.05,5,0.2,True,False,False,False,False,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MainStudy,1,1,
2025-10-18 16:37:59.615,P007,0,0,locate,12,test,locate_P007_M_interp_graded_S1B1_20251018163723167_d51d2009,7,N/A,36.448,0.1896,0.0636,9,0.05,5,0.2,True,False,False,False,False,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MainStudy,1,1,
2025-10-18 16:38:14.386,P007,0,0,locate,12,test,locate_P007_M_interp_graded_S1B1_20251018163759615_01f07a12,8,N/A,14.772,0.1851,0.0662,9,0.05,5,0.2,True,False,False,False,False,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MainStudy,1,1,
2025-10-18 16:38:40.494,P007,0,0,locate,12,test,locate_P007_M_interp_graded_S1B1_20251018163814387_078de1ec,9,N/A,26.108,0.1598,0.0342,9,0.05,5,0.2,True,False,False,False,False,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MainStudy,1,1,
2025-10-18 16:38:41.579,P007,0,0,locate,12,test,locate_P007_M_interp_graded_S1B1_20251018163840494_615f8372,10,N/A,1.086,0.0062,0.0000,9,0.05,5,0.2,True,False,False,False,False,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MainStudy,1,1,
2025-10-18 16:39:03.007,P007,0,0,locate,12,test,locate_P007_M_interp_graded_S1B1_20251018163841579_8f928f5e,11,N/A,21.429,0.1531,0.0415,9,0.05,5,0.2,True,False,False,False,False,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MainStudy,1,1,
2025-10-18 16:39:28.739,P007,0,0,locate,12,test,locate_P007_M_interp_graded_S1B1_20251018163903008_cb181543,12,N/A,25.732,0.2973,0.2028,9,0.05,5,0.2,True,False,False,False,False,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MainStudy,1,1,
2025-10-18 16:39:44.035,P007,0,0,locate,12,test,locate_P007_M_interp_graded_S1B1_20251018163928739_0f3ebc36,13,N/A,15.297,0.1329,0.0236,9,0.05,5,0.2,True,False,False,False,False,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MainStudy,1,1,
2025-10-18 16:39:55.359,P007,0,0,locate,12,test,locate_P007_M_interp_graded_S1B1_20251018163944035_1fc13300,14,N/A,11.324,0.2435,0.0661,9,0.05,5,0.2,True,False,False,False,False,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MainStudy,1,1,
2025-10-18 16:40:03.405,P007,0,0,locate,12,test,locate_P007_M_interp_graded_S1B1_20251018163955359_961731ff,15,N/A,8.046,0.1434,0.0410,9,0.05,5,0.2,True,False,False,False,False,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MainStudy,1,1,
2025-10-18 16:40:26.726,P007,0,0,locate,12,test,locate_P007_M_interp_graded_S1B1_20251018164003405_19b71e9b,16,N/A,23.321,0.3723,0.2354,9,0.05,5,0.2,True,False,False,False,False,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MainStudy,1,1,
2025-10-18 16:40:30.245,P007,0,0,locate,12,test,locate_P007_M_interp_graded_S1B1_20251018164026726_6d3cfde9,17,N/A,3.519,0.0210,0.0115,9,0.05,5,0.2,True,False,False,False,False,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MainStudy,1,1,
2025-10-18 16:40:55.562,P007,0,0,locate,12,test,locate_P007_M_interp_graded_S1B1_20251018164030245_3d5f01f4,18,N/A,25.317,0.1820,0.0991,9,0.05,5,0.2,True,False,False,False,False,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MainStudy,1,1,
2025-10-18 16:41:28.656,P007,0,0,locate,12,test,locate_P007_M_interp_graded_S1B1_20251018164055562_2f59ce08,19,N/A,33.095,0.3338,0.2048,9,0.05,5,0.2,True,False,False,False,False,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MainStudy,1,1,
