timestamp,participantID,sessionNumber,taskOrder,testNumber,trialType,trialID,actualTargetX,actualTargetY,actualTargetZ,selectedTargetX,selectedTargetY,selectedTargetZ,rightControllerX,rightControllerY,rightControllerZ,selectionError,testDuration,angularDeviation,selectionErrorEdge,angularDeviationEdge,longitudinalOrMain,sessionNumber,blockNumber,notes
2025-10-23 20:55:13.261,P012,0,0,1,setup,point_P012_M_interp_graded_S1B1_20251023205459538_617fba47,0.301,0.590,-0.969,0.957,0.943,-0.783,0.227,0.259,-0.800,0.768,13.723,43.001,0.568,22.318,MainStudy,1,1,
2025-10-23 20:55:30.346,P012,0,0,2,setup,point_P012_M_interp_graded_S1B1_20251023205514276_7b0504d1,0.614,0.549,0.406,0.537,0.504,0.317,0.053,0.209,-0.259,0.125,16.078,0.144,0.000,0.000,MainStudy,1,1,
2025-10-23 20:55:36.966,P012,0,0,3,setup,point_P012_M_interp_graded_S1B1_20251023205531360_a2c18bcb,-0.475,0.400,0.386,-0.407,0.363,0.275,-0.001,0.179,-0.401,0.135,5.619,0.425,0.000,0.000,MainStudy,1,1,
2025-10-23 20:55:51.003,P012,0,0,4,practice,point_P012_M_interp_graded_S1B1_20251023205537991_33e6fde8,-0.158,0.294,-0.819,-0.082,0.379,-1.190,-0.070,0.228,-0.593,0.389,13.022,19.656,0.189,5.421,MainStudy,1,1,
2025-10-23 20:56:05.426,P012,0,0,5,practice,point_P012_M_interp_graded_S1B1_20251023205552029_4e75f7dd,0.994,0.531,0.152,0.690,0.315,0.022,0.331,0.194,-0.230,0.395,13.409,9.617,0.195,6.173,MainStudy,1,1,
2025-10-23 20:56:20.714,P012,0,0,6,practice,point_P012_M_interp_graded_S1B1_20251023205606446_14b1318b,0.337,0.389,-0.972,0.158,0.241,-0.994,0.139,0.168,-0.682,0.234,14.288,34.017,0.034,5.876,MainStudy,1,1,
2025-10-23 20:56:46.710,P012,0,0,7,practice,point_P012_M_interp_graded_S1B1_20251023205621728_60572287,0.262,0.325,-0.424,-0.317,0.044,0.702,0.281,0.151,-0.060,1.297,24.991,136.374,1.097,112.358,MainStudy,1,1,
2025-10-23 20:57:02.965,P012,0,0,8,practice,point_P012_M_interp_graded_S1B1_20251023205647730_5f311cbf,-0.440,0.631,-1.093,-0.256,0.621,-1.340,0.053,0.242,-0.511,0.309,15.250,18.365,0.109,5.958,MainStudy,1,1,
2025-10-23 20:57:23.428,P012,0,0,9,test,point_P012_M_interp_graded_S1B1_20251023205703986_839876c0,0.553,0.402,-0.119,1.096,0.655,-0.285,0.442,0.302,-0.432,0.621,19.457,54.171,0.421,26.577,MainStudy,1,1,
2025-10-23 20:57:34.164,P012,0,0,10,test,point_P012_M_interp_graded_S1B1_20251023205724459_a8d1b0a6,0.020,0.504,-0.680,-0.132,0.311,-0.911,-0.085,0.197,-0.530,0.337,9.713,52.432,0.137,19.503,MainStudy,1,1,
2025-10-23 20:57:47.829,P012,0,0,11,test,point_P012_M_interp_graded_S1B1_20251023205735180_91869580,-0.476,0.532,-0.624,-0.442,0.480,-0.492,-0.142,0.296,-0.365,0.145,12.654,12.962,0.000,0.000,MainStudy,1,1,
2025-10-23 20:58:06.068,P012,0,0,12,test,point_P012_M_interp_graded_S1B1_20251023205748850_743b3692,0.149,0.591,-0.696,0.429,0.446,-1.678,0.166,0.218,-0.741,1.031,17.240,84.034,0.831,53.237,MainStudy,1,1,
2025-10-23 20:58:27.465,P012,0,0,13,test,point_P012_M_interp_graded_S1B1_20251023205807085_5b6e8bc4,0.458,0.484,0.384,0.156,0.500,-0.152,0.126,0.315,-0.324,0.616,20.392,36.780,0.416,32.124,MainStudy,1,1,
2025-10-23 20:58:37.193,P012,0,0,14,test,point_P012_M_interp_graded_S1B1_20251023205828489_96650b54,0.347,0.425,-0.981,0.634,0.356,-1.675,0.199,0.165,-0.739,0.754,8.715,32.493,0.554,16.378,MainStudy,1,1,
2025-10-23 20:58:57.181,P012,0,0,15,test,point_P012_M_interp_graded_S1B1_20251023205838218_7b8459c4,0.640,0.293,0.480,1.227,0.583,-0.253,0.500,0.219,-0.502,0.983,18.972,63.821,0.783,53.675,MainStudy,1,1,
2025-10-23 20:59:20.872,P012,0,0,16,test,point_P012_M_interp_graded_S1B1_20251023205858197_cf30e6c7,-0.605,0.332,-1.305,-0.559,0.546,-1.175,-0.033,0.285,-0.640,0.254,22.684,16.515,0.054,3.789,MainStudy,1,1,
2025-10-23 20:59:42.089,P012,0,0,17,test,point_P012_M_interp_graded_S1B1_20251023205936991_963d8c8b,0.116,0.367,-0.830,-0.394,-0.186,-1.211,0.092,0.030,-0.691,0.844,20.214,92.683,0.644,59.658,MainStudy,1,1,
2025-10-23 21:00:03.616,P012,0,0,18,test,point_P012_M_interp_graded_S1B1_20251023205943106_21962f51,-0.367,0.338,-0.664,-0.918,0.408,-0.808,0.004,0.169,-0.524,0.573,20.519,9.757,0.373,4.367,MainStudy,1,1,
