timestamp,participantID,sessionNumber,taskOrder,testNumber,trialType,trialID,actualTargetX,actualTargetY,actualTargetZ,selectedTargetX,selectedTargetY,selectedTargetZ,rightControllerX,rightControllerY,rightControllerZ,selectionError,testDuration,angularDeviation,selectionErrorEdge,angularDeviationEdge,longitudinalOrMain,sessionNumber,blockNumber,notes
2025-10-11 14:46:06.301,LP002,0,0,1,setup,point_LP002_L_discrete_graded_S1B1_20251011144543073_63942c84,-0.764,0.633,-1.223,0.220,0.269,0.487,0.128,0.171,-0.249,2.006,23.225,136.034,1.806,133.578,LongitudinalStudy,1,1,
2025-10-11 14:46:11.424,LP002,0,0,2,setup,point_LP002_L_discrete_graded_S1B1_20251011144607315_a131bf81,0.465,0.410,0.297,0.548,0.481,0.488,0.198,0.165,-0.394,0.220,4.118,0.458,0.020,0.028,LongitudinalStudy,1,1,
2025-10-11 14:46:47.802,LP002,0,0,3,setup,point_LP002_L_discrete_graded_S1B1_20251011144612443_dd910950,-0.344,0.616,0.128,-0.268,0.665,0.498,0.075,0.132,-0.425,0.381,35.368,15.666,0.181,6.353,LongitudinalStudy,1,1,
2025-10-11 14:47:30.990,LP002,0,0,4,practice,point_LP002_L_discrete_graded_S1B1_20251011144648825_24e6aae7,-0.429,0.399,-1.359,-0.248,-0.606,-1.165,0.080,-0.062,-1.204,1.040,42.174,101.585,0.840,89.190,LongitudinalStudy,1,1,
2025-10-11 14:47:58.363,LP002,0,0,5,practice,point_LP002_L_discrete_graded_S1B1_20251011144732018_444226a3,0.184,0.613,-0.196,0.168,-0.327,-1.464,0.522,0.049,-1.625,1.578,26.368,80.638,1.378,77.842,LongitudinalStudy,1,1,
2025-10-11 14:48:10.374,LP002,0,0,6,setup,point_LP002_L_discrete_graded_S1B1_20251011144759391_bdd0b4a4,0.307,0.639,-0.693,0.429,-0.065,-0.411,0.350,0.119,-1.389,0.768,10.996,47.911,0.568,34.638,LongitudinalStudy,1,1,
2025-10-11 14:49:15.965,LP002,0,0,7,setup,point_LP002_L_discrete_graded_S1B1_20251011144811390_f3e5a157,-0.235,0.299,0.052,-0.174,0.280,-0.069,0.018,0.002,-1.311,0.137,64.580,1.698,0.000,0.000,LongitudinalStudy,1,1,
2025-10-11 14:49:50.213,LP002,0,0,8,test,point_LP002_L_discrete_graded_S1B1_20251011144946472_9e5eb86b,-0.549,0.610,-0.785,-0.981,0.957,-0.598,-0.104,0.200,-0.784,0.584,33.247,9.409,0.384,4.685,LongitudinalStudy,1,1,
2025-10-11 14:49:52.736,LP002,0,0,9,test,point_LP002_L_discrete_graded_S1B1_20251011144951235_caa357a5,0.651,0.581,-0.551,-0.433,0.533,-0.813,-0.024,0.192,-0.817,1.117,1.513,108.937,0.917,100.977,LongitudinalStudy,1,1,
2025-10-11 14:49:57.731,LP002,0,0,10,test,point_LP002_L_discrete_graded_S1B1_20251011144953765_53d8a272,0.595,0.501,-0.257,0.063,0.876,0.077,0.152,0.179,-0.813,0.731,3.974,39.814,0.531,25.962,LongitudinalStudy,1,1,
2025-10-11 14:49:59.040,LP002,0,0,11,test,point_LP002_L_discrete_graded_S1B1_20251011144958759_50ad8ef8,-0.843,0.640,-0.617,0.688,0.606,-0.074,0.207,0.165,-0.833,1.625,0.305,96.465,1.425,89.586,LongitudinalStudy,1,1,
2025-10-11 14:50:14.384,LP002,0,0,12,test,point_LP002_L_discrete_graded_S1B1_20251011145000055_d0e12fc1,-0.567,0.606,0.435,-0.065,0.642,0.346,0.224,0.176,-0.485,0.511,14.341,21.361,0.311,14.298,LongitudinalStudy,1,1,
2025-10-11 14:50:15.508,LP002,0,0,13,test,point_LP002_L_discrete_graded_S1B1_20251011145015419_4e9edc8b,-0.411,0.383,-0.266,-0.398,0.579,0.231,0.188,0.170,-0.468,0.534,0.098,29.717,0.334,15.693,LongitudinalStudy,1,1,
2025-10-11 14:50:16.786,LP002,0,0,14,test,point_LP002_L_discrete_graded_S1B1_20251011145016536_f79a45a9,0.644,0.322,-0.968,-0.664,0.476,-0.136,0.194,0.155,-0.529,1.558,0.259,141.047,1.358,131.284,LongitudinalStudy,1,1,
2025-10-11 14:50:26.674,LP002,0,0,15,test,point_LP002_L_discrete_graded_S1B1_20251011145017804_29e1627c,0.751,0.448,-0.986,0.496,-0.858,-0.405,0.250,0.005,-0.848,1.452,8.880,117.958,1.252,104.880,LongitudinalStudy,1,1,
2025-10-11 14:50:40.529,LP002,0,0,16,test,point_LP002_L_discrete_graded_S1B1_20251011145039491_9c68108f,0.244,0.336,-0.051,0.260,0.441,0.163,0.182,0.134,-0.785,0.239,12.846,2.615,0.039,0.339,LongitudinalStudy,1,1,
