timestamp,participantID,sessionNumber,taskOrder,testNumber,trialType,trialID,actualTargetX,actualTargetY,actualTargetZ,selectedTargetX,selectedTargetY,selectedTargetZ,rightControllerX,rightControllerY,rightControllerZ,selectionError,testDuration,angularDeviation,selectionErrorEdge,angularDeviationEdge,longitudinalOrMain,sessionNumber,blockNumber,notes
2025-11-22 13:31:16.523,LP014_s1b1_real,0,0,1,test,point_LP014_s1b1_real_L_discrete_graded_S1B1_20251122133040129_f2a42d5e,-0.989,0.516,0.432,-0.945,0.491,0.396,-0.122,0.271,-0.360,0.062,36.403,0.688,0.000,0.000,LongitudinalStudy,1,1,
2025-11-22 13:31:44.222,LP014_s1b1_real,0,0,2,practice,point_LP014_s1b1_real_L_discrete_graded_S1B1_20251122133117548_a29c2a82,0.997,0.635,0.380,1.008,0.363,0.374,0.490,0.293,-0.200,0.272,26.685,18.790,0.072,5.276,LongitudinalStudy,1,1,
2025-11-22 13:32:05.744,LP014_s1b1_real,0,0,3,test,point_LP014_s1b1_real_L_discrete_graded_S1B1_20251122133145235_cf3a0a32,-0.897,0.254,-0.478,-1.005,0.390,-0.455,-0.554,0.311,-0.462,0.176,20.520,19.766,0.000,0.000,LongitudinalStudy,1,1,
2025-11-22 13:32:20.223,LP014_s1b1_real,0,0,4,test,point_LP014_s1b1_real_L_discrete_graded_S1B1_20251122133206764_f4fb973e,0.691,0.600,-1.464,0.660,0.475,-1.512,0.297,0.398,-1.094,0.138,13.478,13.837,0.000,0.000,LongitudinalStudy,1,1,
2025-11-22 13:32:30.542,LP014_s1b1_real,0,0,5,test,point_LP014_s1b1_real_L_discrete_graded_S1B1_20251122133221253_1ff6ba78,0.786,0.372,-1.103,1.115,0.394,-1.077,0.552,0.327,-0.892,0.330,9.293,23.692,0.130,6.054,LongitudinalStudy,1,1,
2025-11-22 13:32:39.050,LP014_s1b1_real,0,0,6,test,point_LP014_s1b1_real_L_discrete_graded_S1B1_20251122133231550_38279f9f,0.668,0.598,-0.384,0.890,0.622,-0.411,0.426,0.445,-0.533,0.225,7.512,17.187,0.025,1.229,LongitudinalStudy,1,1,
2025-11-22 13:32:54.866,LP014_s1b1_real,0,0,7,test,point_LP014_s1b1_real_L_discrete_graded_S1B1_20251122133240060_88893e84,-0.967,0.575,-0.229,-0.974,0.477,-0.447,-0.484,0.397,-0.490,0.239,14.811,24.344,0.039,4.413,LongitudinalStudy,1,1,
2025-11-22 13:33:09.463,LP014_s1b1_real,0,0,8,test,point_LP014_s1b1_real_L_discrete_graded_S1B1_20251122133305966_a0190549,-0.388,0.554,-0.226,-0.585,0.599,-0.180,-0.301,0.443,-0.377,0.208,13.597,23.677,0.008,0.464,LongitudinalStudy,1,1,
2025-11-22 13:33:24.563,LP014_s1b1_real,0,0,9,test,point_LP014_s1b1_real_L_discrete_graded_S1B1_20251122133310483_1926e2eb,0.792,0.623,-0.752,0.478,0.680,-0.645,0.304,0.533,-0.645,0.337,14.086,31.917,0.137,19.388,LongitudinalStudy,1,1,
2025-11-22 13:33:41.704,LP014_s1b1_real,0,0,10,test,point_LP014_s1b1_real_L_discrete_graded_S1B1_20251122133325574_fa113111,-0.843,0.414,0.041,-0.629,0.434,-0.104,-0.378,0.364,-0.327,0.260,16.137,7.633,0.060,2.628,LongitudinalStudy,1,1,
2025-11-22 13:34:03.567,LP014_s1b1_real,0,0,11,test,point_LP014_s1b1_real_L_discrete_graded_S1B1_20251122133342715_b06e635c,-0.584,0.626,0.342,-0.381,0.561,-0.025,-0.242,0.476,-0.299,0.425,20.862,4.010,0.225,2.904,LongitudinalStudy,1,1,
2025-11-22 13:34:16.961,LP014_s1b1_real,0,0,12,test,point_LP014_s1b1_real_L_discrete_graded_S1B1_20251122133404591_c6002eab,0.210,0.298,0.233,0.368,0.482,0.096,0.038,0.290,-0.435,0.279,12.379,23.742,0.079,6.894,LongitudinalStudy,1,1,
2025-11-22 13:34:32.429,LP014_s1b1_real,0,0,13,test,point_LP014_s1b1_real_L_discrete_graded_S1B1_20251122133417979_a1d43398,-0.335,0.600,-1.433,-0.117,0.389,-1.683,-0.166,0.313,-0.997,0.394,14.456,34.632,0.194,14.977,LongitudinalStudy,1,1,
