timestamp,participantID,sessionNumber,taskOrder,testNumber,trialType,trialID,actualTargetX,actualTargetY,actualTargetZ,selectedTargetX,selectedTargetY,selectedTargetZ,rightControllerX,rightControllerY,rightControllerZ,selectionError,testDuration,angularDeviation,selectionErrorEdge,angularDeviationEdge,longitudinalOrMain,sessionNumber,blockNumber,notes
2025-12-04 15:59:50.690,LP021_s1b3,0,0,1,test,point_LP021_s1b3_L_discrete_graded_S1B3_20251204155931227_af69230d,0.113,0.617,0.164,-0.158,0.328,0.224,0.322,0.288,-0.274,0.400,19.463,35.202,0.200,16.081,LongitudinalStudy,1,3,
2025-12-04 16:00:09.869,LP021_s1b3,0,0,2,test,point_LP021_s1b3_L_discrete_graded_S1B3_20251204160002032_5969e8fa,-0.024,0.541,-1.113,0.036,0.552,-1.186,-0.174,0.387,-1.100,0.095,18.161,16.191,0.000,0.000,LongitudinalStudy,1,3,
2025-12-04 16:00:25.614,LP021_s1b3,0,0,3,test,point_LP021_s1b3_L_discrete_graded_S1B3_20251204160020730_fc1cf761,0.542,0.453,-0.231,0.510,0.634,-0.031,0.458,0.356,-0.440,0.271,14.746,16.613,0.071,2.455,LongitudinalStudy,1,3,
2025-12-04 16:00:43.923,LP021_s1b3,0,0,4,test,point_LP021_s1b3_L_discrete_graded_S1B3_20251204160026640_af64c7ef,0.230,0.577,0.283,-0.001,0.329,0.356,0.273,0.274,0.002,0.347,17.303,47.064,0.147,18.749,LongitudinalStudy,1,3,
2025-12-04 16:00:57.978,LP021_s1b3,0,0,5,test,point_LP021_s1b3_L_discrete_graded_S1B3_20251204160044932_b77549cb,-0.855,0.567,-0.055,-0.694,0.266,-0.196,-0.351,0.279,-0.091,0.369,13.054,37.745,0.169,21.932,LongitudinalStudy,1,3,
2025-12-04 16:01:15.059,LP021_s1b3,0,0,6,test,point_LP021_s1b3_L_discrete_graded_S1B3_20251204160058995_de3d6d32,0.567,0.514,-0.643,0.637,0.416,-0.796,0.235,0.203,-0.983,0.195,16.074,19.513,0.000,0.000,LongitudinalStudy,1,3,
2025-12-04 16:01:29.639,LP021_s1b3,0,0,7,test,point_LP021_s1b3_L_discrete_graded_S1B3_20251204160116094_14c6e6be,0.233,0.368,0.504,0.072,0.284,0.605,0.244,0.238,0.095,0.208,13.572,21.070,0.008,0.640,LongitudinalStudy,1,3,
2025-12-04 16:01:42.898,LP021_s1b3,0,0,8,test,point_LP021_s1b3_L_discrete_graded_S1B3_20251204160134061_edc74f73,0.182,0.411,-0.964,0.307,0.502,-1.044,0.086,0.062,-0.962,0.175,12.256,14.567,0.000,0.000,LongitudinalStudy,1,3,
2025-12-04 16:02:01.749,LP021_s1b3,0,0,9,test,point_LP021_s1b3_L_discrete_graded_S1B3_20251204160143916_ee5ab540,-0.503,0.638,0.107,-0.527,0.562,0.178,-0.118,0.459,-0.025,0.106,17.838,13.085,0.000,0.000,LongitudinalStudy,1,3,
2025-12-04 16:02:10.404,LP021_s1b3,0,0,10,test,point_LP021_s1b3_L_discrete_graded_S1B3_20251204160208919_ccd5289c,0.537,0.267,-0.974,0.804,0.313,-0.888,0.272,0.219,-1.165,0.285,7.654,8.277,0.085,1.547,LongitudinalStudy,1,3,
