timestamp,participantID,sessionNumber,taskOrder,testNumber,trialType,trialID,actualTargetX,actualTargetY,actualTargetZ,selectedTargetX,selectedTargetY,selectedTargetZ,rightControllerX,rightControllerY,rightControllerZ,selectionError,testDuration,angularDeviation,selectionErrorEdge,angularDeviationEdge,longitudinalOrMain,sessionNumber,blockNumber,notes
2025-10-18 15:26:53.445,LP004,0,0,1,setup,point_LP004_L_interp_graded_S1B1_20251018152627323_004bd34b,0.533,0.264,-0.191,-0.048,0.144,0.520,0.061,0.111,-0.306,0.926,26.131,83.505,0.726,60.383,LongitudinalStudy,1,1,
2025-10-18 15:27:29.196,LP004,0,0,2,setup,point_LP004_L_interp_graded_S1B1_20251018152654468_eb50aa09,-0.803,0.487,-1.448,-0.782,0.440,-1.324,-0.651,0.183,-0.354,0.134,34.735,0.712,0.000,0.000,LongitudinalStudy,1,1,
2025-10-18 15:27:39.223,LP004,0,0,3,setup,point_LP004_L_interp_graded_S1B1_20251018152730212_e46d6078,0.363,0.562,-1.292,0.328,0.522,-1.231,-0.389,0.183,-0.354,0.082,9.028,0.990,0.000,0.000,LongitudinalStudy,1,1,
2025-10-18 15:28:45.842,LP004,0,0,4,practice,point_LP004_L_interp_graded_S1B1_20251018152740249_f7e1621e,0.388,0.589,-0.793,1.612,0.657,-0.990,0.259,0.237,-0.541,1.242,65.606,49.555,1.042,30.713,LongitudinalStudy,1,1,
2025-10-18 15:29:20.306,LP004,0,0,5,test,point_LP004_L_interp_graded_S1B1_20251018152857596_3a132d4a,-0.049,0.327,-0.131,0.342,0.747,1.092,0.114,0.191,-0.259,1.351,33.458,54.632,1.151,26.753,LongitudinalStudy,1,1,
2025-10-18 15:30:40.197,LP004,0,0,6,test,point_LP004_L_interp_graded_S1B1_20251018152921321_deb7601b,0.469,0.604,0.158,0.063,0.939,-0.291,0.124,0.213,-0.361,0.692,78.887,56.281,0.492,40.934,LongitudinalStudy,1,1,
2025-10-18 15:31:28.524,LP004,0,0,7,test,point_LP004_L_interp_graded_S1B1_20251018153041211_80680322,-0.655,0.254,0.459,-1.139,0.469,0.618,-0.407,0.145,-0.049,0.553,47.324,22.152,0.353,10.940,LongitudinalStudy,1,1,
2025-10-18 15:31:54.535,LP004,0,0,8,test,point_LP004_L_interp_graded_S1B1_20251018153129535_c31b54a7,0.163,0.430,-0.266,0.822,0.673,0.223,-0.180,0.159,-0.318,0.856,25.000,21.710,0.656,11.656,LongitudinalStudy,1,1,
2025-10-18 15:32:03.878,LP004,0,0,9,test,point_LP004_L_interp_graded_S1B1_20251018153155545_e273fe4f,0.419,0.339,0.358,0.253,0.218,0.142,-0.235,0.098,-0.284,0.298,8.339,5.369,0.098,2.219,LongitudinalStudy,1,1,
2025-10-18 15:32:13.193,LP004,0,0,10,test,point_LP004_L_interp_graded_S1B1_20251018153204903_d229a064,0.256,0.581,-0.198,0.337,0.575,0.192,-0.260,0.141,-0.298,0.399,8.299,25.553,0.199,11.078,LongitudinalStudy,1,1,
2025-10-18 15:32:34.510,LP004,0,0,11,test,point_LP004_L_interp_graded_S1B1_20251018153214221_30a4dddb,-0.261,0.608,-0.622,0.268,0.892,-0.848,-0.310,0.168,-0.472,0.642,20.304,30.404,0.442,15.455,LongitudinalStudy,1,1,
2025-10-18 15:32:42.070,LP004,0,0,12,test,point_LP004_L_interp_graded_S1B1_20251018153235522_8c562968,0.903,0.641,-1.061,0.167,0.322,-0.677,-0.238,0.125,-0.485,0.890,6.553,2.145,0.690,1.945,LongitudinalStudy,1,1,
2025-10-18 15:32:48.643,LP004,0,0,13,test,point_LP004_L_interp_graded_S1B1_20251018153243079_ec611984,0.615,0.458,-0.083,0.996,0.621,-0.123,-0.196,0.127,-0.391,0.416,5.550,7.647,0.216,3.302,LongitudinalStudy,1,1,
2025-10-18 15:32:57.301,LP004,0,0,14,test,point_LP004_L_interp_graded_S1B1_20251018153249638_547ce7f7,-0.952,0.367,-1.153,-1.180,0.307,-1.128,-0.633,0.100,-0.318,0.237,7.673,13.522,0.037,1.980,LongitudinalStudy,1,1,
2025-10-18 15:33:06.335,LP004,0,0,15,test,point_LP004_L_interp_graded_S1B1_20251018153258312_677ae15c,0.007,0.482,0.335,0.206,0.241,0.638,-0.438,0.081,-0.110,0.435,8.029,23.607,0.235,11.022,LongitudinalStudy,1,1,
