timestamp,participantID,sessionNumber,taskOrder,testNumber,trialType,trialID,actualTargetX,actualTargetY,actualTargetZ,selectedTargetX,selectedTargetY,selectedTargetZ,rightControllerX,rightControllerY,rightControllerZ,selectionError,testDuration,angularDeviation,selectionErrorEdge,angularDeviationEdge,longitudinalOrMain,sessionNumber,blockNumber,notes
2025-11-22 11:54:21.541,LP013_s1b2,0,0,1,test,point_LP013_s1b2_L_interp_graded_S1B2_20251122115400396_2b19c3e8,-0.578,0.599,0.511,-0.045,0.744,0.283,-0.003,0.468,-0.068,0.598,21.140,44.771,0.398,35.627,LongitudinalStudy,1,2,
2025-11-22 11:54:31.285,LP013_s1b2,0,0,2,test,point_LP013_s1b2_L_interp_graded_S1B2_20251122115425442_bc2d954b,-0.530,0.387,-0.141,-0.871,0.361,0.078,-0.471,0.301,-0.131,0.407,8.734,56.180,0.207,9.867,LongitudinalStudy,1,2,
2025-11-22 11:54:42.249,LP013_s1b2,0,0,3,test,point_LP013_s1b2_L_interp_graded_S1B2_20251122115437369_ba130dc7,0.008,0.329,0.346,0.221,0.433,0.607,0.114,0.326,0.139,0.352,9.958,41.278,0.152,10.585,LongitudinalStudy,1,2,
2025-11-22 11:54:53.591,LP013_s1b2,0,0,4,test,point_LP013_s1b2_L_interp_graded_S1B2_20251122115446710_9c438b80,0.200,0.250,-0.972,0.081,0.242,-0.861,0.014,0.187,-0.690,0.162,10.333,13.012,0.000,0.000,LongitudinalStudy,1,2,
2025-11-22 11:55:06.551,LP013_s1b2,0,0,5,test,point_LP013_s1b2_L_interp_graded_S1B2_20251122115458094_d47d8b41,0.088,0.476,0.263,-0.030,0.247,0.266,0.104,0.208,-0.021,0.257,11.950,40.947,0.057,10.266,LongitudinalStudy,1,2,
2025-11-22 11:55:27.559,LP013_s1b2,0,0,6,test,point_LP013_s1b2_L_interp_graded_S1B2_20251122115517592_b2242f37,0.385,0.543,0.371,0.405,0.397,0.205,0.226,0.227,-0.058,0.223,20.007,13.684,0.023,2.055,LongitudinalStudy,1,2,
2025-11-22 11:55:39.522,LP013_s1b2,0,0,7,test,point_LP013_s1b2_L_interp_graded_S1B2_20251122115535689_0ed7bbbb,-0.831,0.337,0.340,-0.771,0.166,0.269,-0.498,0.137,0.116,0.194,10.943,21.663,0.000,0.000,LongitudinalStudy,1,2,
2025-11-22 11:55:52.160,LP013_s1b2,0,0,8,test,point_LP013_s1b2_L_interp_graded_S1B2_20251122115540539_50ab404d,-0.443,0.285,-0.201,-0.654,0.233,-0.153,-0.401,0.194,-0.193,0.222,11.637,57.576,0.022,2.028,LongitudinalStudy,1,2,
2025-11-22 11:56:00.373,LP013_s1b2,0,0,9,test,point_LP013_s1b2_L_interp_graded_S1B2_20251122115553176_7d1b06e2,0.640,0.314,-1.199,0.614,0.100,-0.902,0.253,0.082,-0.634,0.367,7.202,24.859,0.167,14.259,LongitudinalStudy,1,2,
2025-11-22 11:56:20.316,LP013_s1b2,0,0,10,test,point_LP013_s1b2_L_interp_graded_S1B2_20251122115608100_e3fe9010,0.831,0.268,-1.412,0.822,0.224,-1.333,0.277,0.094,-0.956,0.091,18.933,5.311,0.000,0.000,LongitudinalStudy,1,2,
