timestamp,participantID,sessionNumber,taskOrder,testNumber,trialType,trialID,actualTargetX,actualTargetY,actualTargetZ,selectedTargetX,selectedTargetY,selectedTargetZ,rightControllerX,rightControllerY,rightControllerZ,selectionError,testDuration,angularDeviation,selectionErrorEdge,angularDeviationEdge,longitudinalOrMain,sessionNumber,blockNumber,notes
2025-11-20 16:35:34.969,LP006_s2_b5,0,0,1,test,point_LP006_s2_b5_L_interp_graded_S2B5_20251120163524707_55daea3e,0.421,0.532,-0.312,0.584,0.556,-0.327,0.314,0.421,-0.499,0.165,48.518,25.343,0.000,0.000,LongitudinalStudy,2,5,
2025-11-20 16:35:55.622,LP006_s2_b5,0,0,2,test,point_LP006_s2_b5_L_interp_graded_S2B5_20251120163535981_967ac763,-0.916,0.360,-0.485,-1.049,0.139,-0.314,-0.097,0.137,-0.364,0.309,19.653,18.713,0.109,6.139,LongitudinalStudy,2,5,
2025-11-20 16:36:32.617,LP006_s2_b5,0,0,3,test,point_LP006_s2_b5_L_interp_graded_S2B5_20251120163556643_921f1208,0.726,0.578,0.356,1.199,0.726,0.580,0.339,0.337,-0.228,0.544,35.983,12.554,0.344,6.358,LongitudinalStudy,2,5,
2025-11-20 16:37:02.390,LP006_s2_b5,0,0,4,test,point_LP006_s2_b5_L_interp_graded_S2B5_20251120163633633_0a4e027c,0.905,0.606,-1.103,0.613,0.481,-0.992,0.317,0.339,-0.651,0.336,28.763,11.023,0.136,5.851,LongitudinalStudy,2,5,
2025-11-20 16:37:18.791,LP006_s2_b5,0,0,5,test,point_LP006_s2_b5_L_interp_graded_S2B5_20251120163703405_e7e1eb58,-0.422,0.337,-0.119,-0.297,0.318,-0.115,0.036,0.223,-0.224,0.126,15.392,5.344,0.000,0.000,LongitudinalStudy,2,5,
2025-11-20 16:37:48.946,LP006_s2_b5,0,0,6,test,point_LP006_s2_b5_L_interp_graded_S2B5_20251120163719813_697f80d7,-0.124,0.495,-0.901,-0.327,0.554,-0.880,-0.027,0.349,-0.544,0.212,29.143,24.610,0.012,1.132,LongitudinalStudy,2,5,
2025-11-20 16:38:10.908,LP006_s2_b5,0,0,7,test,point_LP006_s2_b5_L_interp_graded_S2B5_20251120163749966_16fc12fa,0.855,0.470,-0.857,0.840,0.497,-1.049,0.370,0.225,-0.556,0.194,20.952,13.493,0.000,0.000,LongitudinalStudy,2,5,
2025-11-20 16:38:24.998,LP006_s2_b5,0,0,8,test,point_LP006_s2_b5_L_interp_graded_S2B5_20251120163819296_722cd96d,0.657,0.474,-0.357,0.780,0.508,-0.421,0.543,0.378,-0.438,0.142,13.083,27.039,0.000,0.000,LongitudinalStudy,2,5,
2025-11-20 16:38:50.483,LP006_s2_b5,0,0,9,test,point_LP006_s2_b5_L_interp_graded_S2B5_20251120163826010_4d816d98,0.184,0.567,0.231,0.355,0.412,0.298,0.408,0.255,-0.180,0.239,24.482,25.209,0.039,4.459,LongitudinalStudy,2,5,
2025-11-20 16:38:58.896,LP006_s2_b5,0,0,10,test,point_LP006_s2_b5_L_interp_graded_S2B5_20251120163851507_3cab1f56,0.424,0.418,-0.155,0.589,0.420,-0.140,0.442,0.315,-0.288,0.166,7.402,45.270,0.000,0.000,LongitudinalStudy,2,5,
