timestamp,participantID,sessionNumber,taskOrder,taskType,actuators,trialType,trialID,hitCount,missCount,timeSinceLastHit_sec,controllerVariance,headsetVariance,falloff,minDist,maxDist,hitRadius,hiddenTargets,headsetEnabled,{enableLeftControllerHaptics},{enableRightControllerHaptics},targetVisible,axisVisualizationVisible,actualTargetX,actualTargetY,actualTargetZ,selectedTargetX,selectedTargetY,selectedTargetZ,selectionError,testDuration,angularDeviation,longitudinalOrMain,sessionNumber,blockNumber,notes
2025-11-26 11:25:29.698,LP017_s2b6_real,0,0,locate,12,test,locate_LP017_s2b6_real_L_interp_graded_S2B6_20251126112452978_6b64a00e,1,N/A,0.000,1.9027,1.7595,9,0.05,5,0.2,True,False,False,False,False,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,LongitudinalStudy,2,6,
2025-11-26 11:25:33.833,LP017_s2b6_real,0,0,locate,12,test,locate_LP017_s2b6_real_L_interp_graded_S2B6_20251126112529699_cc9e60e4,2,N/A,4.135,0.0289,0.0129,9,0.05,5,0.2,True,False,False,False,False,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,LongitudinalStudy,2,6,
2025-11-26 11:25:38.702,LP017_s2b6_real,0,0,locate,12,test,locate_LP017_s2b6_real_L_interp_graded_S2B6_20251126112533838_5d178b7f,3,N/A,4.870,0.1527,0.0259,9,0.05,5,0.2,True,False,False,False,False,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,LongitudinalStudy,2,6,
2025-11-26 11:25:44.038,LP017_s2b6_real,0,0,locate,12,test,locate_LP017_s2b6_real_L_interp_graded_S2B6_20251126112538702_ad801c16,4,N/A,5.336,0.0759,0.0373,9,0.05,5,0.2,True,False,False,False,False,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,LongitudinalStudy,2,6,
2025-11-26 11:25:47.898,LP017_s2b6_real,0,0,locate,12,test,locate_LP017_s2b6_real_L_interp_graded_S2B6_20251126112544038_b877ebb2,5,N/A,3.860,0.2346,0.0788,9,0.05,5,0.2,True,False,False,False,False,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,LongitudinalStudy,2,6,
2025-11-26 11:25:51.300,LP017_s2b6_real,0,0,locate,12,test,locate_LP017_s2b6_real_L_interp_graded_S2B6_20251126112547898_a5f67f40,6,N/A,3.402,0.2119,0.0438,9,0.05,5,0.2,True,False,False,False,False,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,LongitudinalStudy,2,6,
2025-11-26 11:25:54.520,LP017_s2b6_real,0,0,locate,12,test,locate_LP017_s2b6_real_L_interp_graded_S2B6_20251126112551300_09b9a339,7,N/A,3.221,0.2038,0.0456,9,0.05,5,0.2,True,False,False,False,False,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,LongitudinalStudy,2,6,
2025-11-26 11:25:56.424,LP017_s2b6_real,0,0,locate,12,test,locate_LP017_s2b6_real_L_interp_graded_S2B6_20251126112554520_89020aa1,8,N/A,1.904,0.0297,0.0029,9,0.05,5,0.2,True,False,False,False,False,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,LongitudinalStudy,2,6,
2025-11-26 11:25:59.380,LP017_s2b6_real,0,0,locate,12,test,locate_LP017_s2b6_real_L_interp_graded_S2B6_20251126112556424_a76c6279,9,N/A,2.957,0.0656,0.0072,9,0.05,5,0.2,True,False,False,False,False,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,LongitudinalStudy,2,6,
2025-11-26 11:26:03.822,LP017_s2b6_real,0,0,locate,12,test,locate_LP017_s2b6_real_L_interp_graded_S2B6_20251126112559380_ab9e53ec,10,N/A,4.443,0.1068,0.0270,9,0.05,5,0.2,True,False,False,False,False,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,LongitudinalStudy,2,6,
2025-11-26 11:26:06.988,LP017_s2b6_real,0,0,locate,12,test,locate_LP017_s2b6_real_L_interp_graded_S2B6_20251126112603822_7d83d40e,11,N/A,3.167,0.2082,0.0460,9,0.05,5,0.2,True,False,False,False,False,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,LongitudinalStudy,2,6,
2025-11-26 11:26:09.375,LP017_s2b6_real,0,0,locate,12,test,locate_LP017_s2b6_real_L_interp_graded_S2B6_20251126112606988_ddb2049f,12,N/A,2.388,0.0480,0.0041,9,0.05,5,0.2,True,False,False,False,False,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,LongitudinalStudy,2,6,
