timestamp,participantID,sessionNumber,taskOrder,testNumber,trialType,trialID,actualTargetX,actualTargetY,actualTargetZ,selectedTargetX,selectedTargetY,selectedTargetZ,rightControllerX,rightControllerY,rightControllerZ,selectionError,testDuration,angularDeviation,selectionErrorEdge,angularDeviationEdge,longitudinalOrMain,sessionNumber,blockNumber,notes
2025-11-26 11:29:44.752,LP017_s2b6_real,0,0,1,test,point_LP017_s2b6_real_L_interp_graded_S2B6_20251126112930745_ba7d8dc2,0.861,0.409,0.049,0.643,0.454,0.146,0.188,0.240,-0.411,0.243,14.007,16.618,0.043,3.177,LongitudinalStudy,2,6,
2025-11-26 11:29:56.409,LP017_s2b6_real,0,0,2,test,point_LP017_s2b6_real_L_interp_graded_S2B6_20251126112945764_e15ebfe4,-0.900,0.293,0.431,-0.814,0.257,0.075,-0.033,0.177,-0.466,0.368,10.652,11.260,0.168,5.913,LongitudinalStudy,2,6,
2025-11-26 11:30:04.498,LP017_s2b6_real,0,0,3,test,point_LP017_s2b6_real_L_interp_graded_S2B6_20251126112957432_01954a1e,0.334,0.553,0.193,0.248,0.453,-0.099,-0.024,0.170,-0.610,0.320,7.074,4.410,0.120,2.079,LongitudinalStudy,2,6,
2025-11-26 11:30:11.656,LP017_s2b6_real,0,0,4,test,point_LP017_s2b6_real_L_interp_graded_S2B6_20251126113005532_669dbdbb,-0.270,0.524,-0.629,-0.301,0.508,-0.860,-0.125,0.307,-0.614,0.233,6.158,39.919,0.033,4.042,LongitudinalStudy,2,6,
2025-11-26 11:30:23.735,LP017_s2b6_real,0,0,5,test,point_LP017_s2b6_real_L_interp_graded_S2B6_20251126113019959_9114e2f8,-0.311,0.297,-1.056,-0.383,0.508,-1.246,-0.115,0.156,-0.696,0.293,11.075,11.212,0.093,2.483,LongitudinalStudy,2,6,
2025-11-26 11:30:34.673,LP017_s2b6_real,0,0,6,test,point_LP017_s2b6_real_L_interp_graded_S2B6_20251126113024771_c0d4bbf7,-0.475,0.380,-1.250,-0.193,0.468,-1.010,-0.124,0.156,-0.516,0.381,9.910,23.123,0.181,13.067,LongitudinalStudy,2,6,
2025-11-26 11:30:43.354,LP017_s2b6_real,0,0,7,test,point_LP017_s2b6_real_L_interp_graded_S2B6_20251126113035702_2c188d7a,-0.914,0.285,0.455,-0.651,0.584,0.394,-0.019,0.170,-0.454,0.403,7.660,17.911,0.203,9.560,LongitudinalStudy,2,6,
2025-11-26 11:30:52.351,LP017_s2b6_real,0,0,8,test,point_LP017_s2b6_real_L_interp_graded_S2B6_20251126113044364_036d3512,0.904,0.423,-0.777,0.732,0.481,-0.971,-0.074,0.149,-0.485,0.265,7.995,14.479,0.065,3.712,LongitudinalStudy,2,6,
2025-11-26 11:31:00.602,LP017_s2b6_real,0,0,9,test,point_LP017_s2b6_real_L_interp_graded_S2B6_20251126113053372_cbbf790c,0.559,0.486,0.152,0.591,0.437,-0.040,-0.024,0.145,-0.382,0.200,7.243,12.347,0.000,0.000,LongitudinalStudy,2,6,
2025-11-26 11:31:08.623,LP017_s2b6_real,0,0,10,test,point_LP017_s2b6_real_L_interp_graded_S2B6_20251126113101618_d8746a60,-0.299,0.362,-1.414,-0.330,0.505,-1.342,-0.336,0.173,-0.400,0.163,7.017,8.984,0.000,0.000,LongitudinalStudy,2,6,
