Column 1,PID (filled out by experimenter),Configuration (filled out by experimenter),Session (filled out by experimenter),Block (filled out by experimenter),Did vibrations feel like they were coming from the target or from your hands?,I experienced: ,"Did you feel like you could perceive the target's position directly, or did you have to deliberately interpret it based on the vibrations",How much were you attending to your hands as the basis for your judgments?,"When you moved the controllers, did the haptic sensations change in a predictable way?","Did you perceive each target as existing in a stable, stationary location? ",How intuitive did the haptic feedback feel?,Did the target feel like it existed independently of your actions?,How accurate/reliable did the haptic system feel?,Any additional comments or feedback?
10/11/2025 14:54:34,LP002,Discrete Graded,1,1,2,1,2,,,,,,,
10/11/2025 15:03:54,LP002,Discrete Graded,1,2,4,2,3,,,,,,,
10/11/2025 15:15:26,LP002,Discrete Graded,1,3,5,5,4,6,5,6,3,3,4,
10/13/2025 12:32:38,LP001,Discrete Graded,1,1,6,5,4,,,,,,,
10/13/2025 12:45:14,LP001,Discrete Graded,1,2,6,6,4,,,,,,,
10/13/2025 12:56:46,LP001,Discrete Graded,1,3,6,6,5,5,5,7,6,6,6,n/a
10/13/2025 18:39:00,LP003,Interpolated Graded,1,1,2,3,1,,,,,,,
10/13/2025 18:52:05,LP003,Interpolated Graded,1,2,2,3,3,,,,,,,
10/13/2025 19:11:52,LP003,Interpolated Graded,1,3,3,3,3,6,5,3,5,5,4,"It felt like a mixed bag of my intuition reliably predicting it or not. By the second attempts I certainly was focusing less on the individual feedback sources to guide me, and more the overall sensation of my hands. I could use this to very slightly perceive a heatmap of the location, and this was best done by ""panning"" the area back and forth with hands distant from each other, two heatmaps by which the location is triangulated. The rate of increase in comfort with this new sense felt slow."
10/16/2025 16:40:40,LP003,Interpolated Graded,2,4,2,3,2,,,,,,,
10/16/2025 16:53:19,LP003,Interpolated Graded,2,5,4,3,3,,,,,,,
10/16/2025 17:18:06,LP003,Interpolated Graded,2,6,4,6,4,2,5,6,5,6,5,"Sensation did not feel like it was necessarily coming from my hands *or* from the target but rather, it felt like the air itself possessed a sort of heat map, the air becoming denser as I moved closer to the target. Right at the target did at times seem to be a strong locus of energy that could perhaps be interpreted as that sphere? Also, any focus on the vibration was mostly relegated to the ""forward"" pointer finger, and all the others melted into the background as textural detail. I noticed my own improvement in intuiting the location. Interestingly on the second go I found more success keeping my hands together instead of triangulating with them apart. Left hand consistently felt stronger, as a technical note."
10/18/2025 14:18:54,LP002,Discrete Graded,2,4,5,5,5,4,6,,,,,
10/18/2025 14:30:28,LP002,Discrete Graded,2,5,4,6,5,,,,,,,
10/18/2025 14:40:05,LP002,Discrete Graded,2,6,6,6,5,6,6,7,5,7,5,I wish the front motor is more sensitive (greater power) than the rest of the motor
10/18/2025 15:38:06,LP004,Interpolated Graded,1,1,6,3,2,,,,,,,
10/18/2025 15:46:49,LP004,Interpolated Graded,1,2,6,3,3,,,,,,,
10/18/2025 16:00:15,LP004,Interpolated Graded,1,3,6,3,3,4,6,6,5,7,6,
10/20/2025 19:23:06,LP004,Interpolated Graded,2,4,5,3,2,,,,,,,
10/20/2025 19:31:57,LP004,Interpolated Graded,2,5,5,4,3,,,,,,,
10/20/2025 19:37:08,LP004,Interpolated Graded,2,6,6,5,3,4,5,6,5,7,6,"Vibrations felt a little less reliable when I was immediately in front of the object, especially on the backs of hands"
10/23/2025 17:39:13,LP006,Interpolated Graded,1,1,3,6,3,,,,,,,
10/23/2025 17:53:21,LP006,Interpolated Graded,1,2,3,4,3,,,,,,,
10/23/2025 18:04:52,LP006,Interpolated Graded,1,3,4,4,4,6,6,7,5,4,6,maybe you could add an option for the laser in the left hand
10/23/2025 18:31:38,LP007,Interpolated Graded,1,1,2,4,3,,,,,,,
10/23/2025 18:42:19,LP007,Interpolated Graded,1,2,4,5,5,,,,,,,
10/23/2025 18:56:29,LP007,Interpolated Graded,1,3,4,5,3,5,5,6,4,7,6,I felt a lot more accurate at the locating task than at the pointing task; it was definitely harder for me to try and locate the object out in space and having to determine a rough distance from me. I would move my hands around together a lot to get feedback and roughly locate the angle of the object and the height by feeling the motors on the palm and back of my hands. Such a cool experiment!!!! :D
10/23/2025 19:37:10,LP008,Interpolated Graded,1,1,5,2,3,,,,,,,
10/23/2025 19:51:38,LP008,Interpolated Graded,1,2,5,3,3,,,,,,,
10/23/2025 20:04:45,LP008,Interpolated Graded,1,3,5,4,3,5,7,7,6,5,6,
10/30/2025 15:36:27,LP001,Discrete Graded,2,4,6,5,4,,,,,,,
10/30/2025 15:46:17,LP001,Discrete Graded,2,5,6,6,4,,,,,,,
10/30/2025 15:54:37,LP001,Discrete Graded,2,6,6,6,5,5,7,7,7,7,7,n/a
10/30/2025 17:25:31,LP007,Interpolated Graded,2,4,5,5,3,,,,,,,
10/30/2025 17:38:05,LP007,Interpolated Graded,2,5,6,5,4,,,,,,,
10/30/2025 17:51:10,LP007,Interpolated Graded,2,6,6,6,4,5,6,6,6,6,6,
11/3/2025 17:29:18,LP009,Discrete Graded,1,1,3,1,2,,,,,,,
11/3/2025 17:47:49,LP009,Discrete Graded,1,2,3,2,3,,,,,,,
