metric,condition,block,mean,std
Locate Performance,Discrete Graded,1,5.2272727272727275,2.939928879782948
Locate Performance,Interpolated Graded,1,4.090909090909091,1.6928996104049083
Locate Performance,Discrete Graded,2,6.045454545454546,2.3393860888547815
Locate Performance,Interpolated Graded,2,5.340909090909091,2.8641594038930673
Locate Performance,Discrete Graded,3,7.7272727272727275,1.648690940771441
Locate Performance,Interpolated Graded,3,6.4772727272727275,3.652832027096485
Locate Performance,Discrete Graded,4,7.75,3.40587727318528
Locate Performance,Interpolated Graded,4,7.340909090909091,3.172681687612089
Locate Performance,Discrete Graded,5,9.159090909090908,3.2234933055474295
Locate Performance,Interpolated Graded,5,8.113636363636363,3.2275448028719067
Locate Performance,Discrete Graded,6,9.386363636363637,3.262214808154953
Locate Performance,Interpolated Graded,6,9.954545454545455,3.807588117526274
Point Selection Error,Discrete Graded,1,19.561322314049587,13.669607068803296
Point Selection Error,Interpolated Graded,1,21.455867768595045,9.364367070903276
Point Selection Error,Discrete Graded,2,19.64685950413223,16.744885822755855
Point Selection Error,Interpolated Graded,2,17.790468319559228,20.791149427912046
Point Selection Error,Discrete Graded,3,17.250516528925623,18.86012102953937
Point Selection Error,Interpolated Graded,3,13.121404958677688,5.646028683492134
Point Selection Error,Discrete Graded,4,15.916433566433566,11.54329661912095
Point Selection Error,Interpolated Graded,4,18.675454545454542,10.521238925899539
Point Selection Error,Discrete Graded,5,13.698925619834712,8.350999502887072
Point Selection Error,Interpolated Graded,5,12.97181818181818,5.109735449476457
Point Selection Error,Discrete Graded,6,14.745206611570246,11.726942843076298
Point Selection Error,Interpolated Graded,6,11.573636363636366,8.945859682252202
DA,Discrete Graded,1,2.8181818181818183,1.2052075557866588
DA,Interpolated Graded,1,3.0,1.2736648783028532
DA,Discrete Graded,2,3.4545454545454546,1.2933395813657265
DA,Interpolated Graded,2,3.1212121212121215,1.0249414863810766
DA,Discrete Graded,3,3.939393939393939,1.4439004414600354
DA,Interpolated Graded,3,3.333333333333333,1.247219128924647
DA,Discrete Graded,4,4.000000000000001,1.3581032524975576
DA,Interpolated Graded,4,3.4242424242424248,1.468868870109159
DA,Discrete Graded,5,4.242424242424242,1.3340906939927208
DA,Interpolated Graded,5,4.0606060606060606,1.3889898953170716
DA,Discrete Graded,6,4.242424242424242,1.6471585573742782
DA,Interpolated Graded,6,4.424242424242425,1.407052941362897
